series,baker,age
2,Ben,31
2,Holly,31
2,Ian,40
2,Janet,63
2,Jason,19
2,Joanne,41
2,Keith,31
2,Mary-Anne,45
2,Robert,25
2,Simon,31
2,Urvashi,40
2,Yasmin,43
3,Brendan,63
3,Cathryn,27
3,Danny,45
3,James,21
3,John,23
3,Manisha,27
3,Natasha,36
3,Peter,43
3,Ryan,38
3,Sarah-Jane,28
3,Victoria,50
3,Stuart,26
4,Ali,25
4,Beca,31
4,Christine,66
4,Deborah,51
4,Frances,31
4,Glenn,37
4,Howard,51
4,Kimberley,30
4,Lucy,38
4,Mark,37
4,Robert,54
4,Ruby,20
4,Toby,30
5,Chetna,35
5,Claire,31
5,Diana,69
5,Enwezor,39
5,Iain,31
5,Jordan,32
5,Kate,41
5,Luis,42
5,Martha,17
5,Nancy,60
5,Norman,66
5,Richard,38
6,Alvin,37
6,Dorret,53
6,Flora,19
6,Ian,41
6,Marie,66
6,Mat,37
6,Nadiya,30
6,Paul,49
6,Sandy,49
6,Stu,35
6,Tamal,29
6,Ugne,32
7,Andrew,25
7,Benjamina,23
7,Candice,31
7,Jane,61
7,Kate,37
7,Lee,67
7,Louise,46
7,Michael,20
7,Rav,28
7,Selasi,30
7,Tom,26
7,Val,66
8,Chris,50
8,Flo,71
8,James,46
8,Julia,21
8,Kate,29
8,Liam,19
8,Peter,52
8,Sophie,33
8,Stacey,42
8,Steven,34
8,Tom,29
8,Yan,46
9,Antony,30
9,Briony,33
9,Danny,36
9,Imelda,33
9,Jon,47
9,Karen,60
9,Kim-Joy,27
9,Luke,30
9,Manon,26
9,Rahul,30
9,Ruby,29
9,Terry,56
10,Alice,28
10,Amelia,24
10,Danny,32
10,David,36
10,Helena,40
10,Henry,20
10,Jamie,20
10,Michael,26
10,Michelle,35
10,Phil,56
10,Priya,34
10,Rosie,28
10,Steph,28
11,Dave,30
11,Hermine,39
11,Laura,31
11,Linda,61
11,Loriea,27
11,Lottie,31
11,Makbul,51
11,Marc,51
11,Mark,32
11,Peter,20
11,Rowan,55
11,Sura,31
12,Amanda,56
12,Chigs,40
12,Crystelle,26
12,Freya,19
12,George,34
12,Giuseppe,45
12,Jairzeno,51
12,Jurgen,56
12,Lizzie,28
12,Maggie,70
12,Rochica,27
12,Tom,28
13,James,25
13,Sandro,30
13,Dawn,60
13,Rebs,23
13,Janusz,34
13,Abdul,29
13,Kevin,33
13,Maisam,18
13,Maxy,29
13,Will,45
13,Carole,59
13,Syabira,32
