series,episode,baker,outcome,signature_handshake,technical,showstopper_handshake,signature_ingredients,showstopper_ingredients
3,1,Brendan,IN,No,10,No,NULL,NULL
3,1,Cathryn,IN,No,5,No,NULL,NULL
3,1,Danny,IN,No,7,No,NULL,NULL
3,1,James,IN,No,2,No,NULL,NULL
3,1,John,IN,No,11,No,NULL,NULL
3,1,Manisha,IN,No,6,No,NULL,NULL
3,1,Natasha,OUT,No,12,No,NULL,NULL
3,1,Peter,IN,No,3,No,NULL,NULL
3,1,Ryan,IN,No,8,No,NULL,NULL
3,1,Sarah-Jane,IN,No,1,No,NULL,NULL
3,1,Stuart,IN,No,9,No,NULL,NULL
3,1,Victoria,STARBAKER,No,4,No,NULL,NULL
3,2,Brendan,IN,No,4,No,NULL,NULL
3,2,Cathryn,IN,No,8,No,NULL,NULL
3,2,Danny,IN,No,3,No,NULL,NULL
3,2,James,IN,No,2,No,NULL,NULL
3,2,John,STARBAKER,No,1,No,NULL,NULL
3,2,Manisha,IN,No,6,No,NULL,NULL
3,2,Natasha,NULL,NULL,NULL,NULL,NULL,NULL
3,2,Peter,OUT,No,11,No,NULL,NULL
3,2,Ryan,IN,No,5,No,NULL,NULL
3,2,Sarah-Jane,IN,No,10,No,NULL,NULL
3,2,Stuart,IN,No,9,No,NULL,NULL
3,2,Victoria,IN,No,7,No,NULL,NULL
3,3,Brendan,IN,No,9,No,NULL,NULL
3,3,Cathryn,IN,No,3,No,NULL,NULL
3,3,Danny,IN,No,2,No,NULL,NULL
3,3,James,STARBAKER,No,1,No,NULL,NULL
3,3,John,IN,No,6,No,NULL,NULL
3,3,Manisha,IN,No,10,No,NULL,NULL
3,3,Natasha,NULL,NULL,NULL,NULL,NULL,NULL
3,3,Peter,NULL,NULL,NULL,NULL,NULL,NULL
3,3,Ryan,IN,No,5,No,NULL,NULL
3,3,Sarah-Jane,IN,No,8,No,NULL,NULL
3,3,Stuart,IN,No,7,No,NULL,NULL
3,3,Victoria,OUT,No,4,No,NULL,NULL
3,4,Brendan,STARBAKER,No,1,No,NULL,NULL
3,4,Cathryn,IN,No,3,No,NULL,NULL
3,4,Danny,IN,No,2,No,NULL,NULL
3,4,James,IN,No,5,No,NULL,NULL
3,4,John,IN,No,6,No,NULL,NULL
3,4,Manisha,IN,No,9,No,NULL,NULL
3,4,Natasha,NULL,NULL,NULL,NULL,NULL,NULL
3,4,Peter,NULL,NULL,NULL,NULL,NULL,NULL
3,4,Ryan,IN,No,7,No,NULL,NULL
3,4,Sarah-Jane,IN,No,4,No,NULL,NULL
