series,episode,episode_name
2,1,Cake
2,2,Tarts
2,3,Bread
2,4,Biscuits
2,5,Pies
2,6,Desserts
2,7,Patisserie
2,8,Final
3,1,Cake
3,2,Bread
3,3,Tarts
3,4,Desserts
3,5,Pies
3,6,Puddings
3,7,Sweet Dough
3,8,Biscuits
3,9,Patisserie
3,10,Final
4,1,Cake
4,2,Bread
4,3,Desserts
4,4,Pies and Tarts
4,5,Biscuits and Traybakes
4,6,Sweet Dough
4,7,Pastry
4,8,Alternative Ingredients
4,9,French
4,10,Final
5,1,Cake
5,2,Biscuits
5,3,Bread
5,4,Desserts
5,5,Pies and Tarts
5,6,European Cakes
5,7,Pastry
5,8,Advanced Dough
5,9,Patisserie
5,10,Final
6,1,Cake
6,2,Biscuits
6,3,Bread
6,4,Desserts
6,5,Alternative Ingredients
6,6,Pastry
6,7,Victorian
6,8,Patisserie
6,9,Chocolate
6,10,Final
7,1,Cake
7,2,Biscuits
7,3,Bread
7,4,Batter
7,5,Pastry
7,6,Botanical
7,7,Desserts
7,8,Tudor
7,9,Patisserie
7,10,Final
8,1,Cake
8,2,Biscuits
8,3,Bread
8,4,Caramel
8,5,Puddings
8,6,Pastry
8,7,Italian
8,8,Forgotten Bakes
8,9,Patisserie
8,10,Final
9,1,Cake
9,2,Biscuits
9,3,Bread
9,4,Desserts
9,5,Spice
9,6,Pastry
9,7,Vegan
9,8,Danish
9,9,Patisserie
9,10,Final
10,1,Cake
10,2,Biscuits
10,3,Bread
10,4,Dairy
10,5,The Roaring Twenties
10,6,Desserts
10,7,Festivals
10,8,Pastry
10,9,Patisserie
10,10,Final
11,1,Cake
11,2,Biscuits
11,3,Bread
11,4,Chocolate
11,5,Pastry
11,6,Japanese
11,7,The 80s
11,8,Desserts
11,9,Patisserie
11,10,Final
12,1,Cake
12,2,Biscuits
12,3,Bread
12,4,Desserts
12,5,German
12,6,Pastry
12,7,Caramel
12,8,Free-form
12,9,Patisserie
12,10,Final
13,1,Cake
13,2,Biscuits
13,3,Bread
13,4,Maxican
13,5,Desserts
13,6,Halloween
13,7,Custard
13,8,Pastry
13,9,Patisserie
13,10,Final
