Name,Address 1,Address 2,City,Zip,Inspection Date,Inspection Results,Food from Approved Source (C),Food Protected from Contamination (C),Ill Workers Restricted (C),Proper Hand Washing (C),Cooling Time and Temperature (C),Cold Holding Temperature (C),Hot Holding Temperature (C),Cooking Time and Temperature (C),Reheating Time and Temperature (C),Hot and Cold Running Water Provided (C),Proper Sewage Disposal (C),Toxic Substances & Pesticides,Rodent and Insects,Nutritional Labeling,Trans Fat Ban,No-Smoking Sign Posted,Inspection Type,Owner,Category,Type,Latitude,Longitude,Location
CHIPOTLE MEXICAN GRILL #0103,564 N. FREDERICK AVE.,,GAITHERSBURG,20877,07/27/2023,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Food Complaint,CHIPOTLE MEXICAN GRILL OF COLORADO LLC,Restaurant,Food,39.1484,-77.2101,"(39.1484, -77.2101)"
CHIPOTLE MEXICAN GRILL #1608,10135 COLESVILLE RD.,,SILVER SPRING,20901,09/13/2023,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,CHIPOTLE MEXICAN GRILL,Restaurant,Food,39.0209,-77.0119,"(39.0209, -77.0119)"
CHIPOTLE MEXICAN GRILL #2130,10116 RIVER RD,STE B,POTOMAC,20854,07/27/2023,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,,CHIPOTLE MEXICAN GRILL OF COLORADO LLC,Restaurant,Food,39.0164,-77.209,"(39.0164, -77.209)"
CHIPOTLE MEXICAN GRILL #2130,10116 RIVER RD,STE B,POTOMAC,20854,07/27/2023,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring w/Complaint Investigation,CHIPOTLE MEXICAN GRILL OF COLORADO LLC,Restaurant,Food,39.0164,-77.209,"(39.0164, -77.209)"
CHIPOTLE MEXICAN GRILL,13801 OUTLET DR,,SILVER SPRING,20904,10/10/2023,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,CHIPOTLE MEXICAN GRILL OF COLOARADO LLC,Restaurant,Food,39.0822,-76.9468,"(39.0822, -76.9468)"
CHIPOTLE MEXICAN GRILL #0683,13501 CONNECTICUT AVE.,,SILVER SPRING,20906,11/09/2023,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring w/Complaint Investigation,CHIPOTLE MEXICAN GRILL OF COLORADO LLC,Restaurant,Food,39.0767,-77.08,"(39.0767, -77.08)"
CHIPOTLE MEXICAN GRILL #0278,4471 WILLARD AVE.,,CHEVY CHASE,20815,09/13/2023,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Reinspection,CHIPOTLE MEXICAN GRILL OF COLORADO LLC,Restaurant,Food,38.9622,-77.0886,"(38.9622, -77.0886)"
CHIPOTLE MEXICAN GRILL #1147,865-B ROCKVILLE PIKE,,ROCKVILLE,20851,09/18/2023,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Complaint Invest w/Comprehensive,CHIPOTLE MEXICAN GRILL OF COLORADO LLC,Restaurant,Food,39.0752,-77.1378,"(39.0752, -77.1378)"
CHIPOTLE MEXICAN GRILL #0278,4471 WILLARD AVE.,,CHEVY CHASE,20815,08/28/2023,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Complaint Invest w/Comprehensive,CHIPOTLE MEXICAN GRILL OF COLORADO LLC,Restaurant,Food,38.9622,-77.0886,"(38.9622, -77.0886)"
CHIPOTLE MEXICAN GRILL #1449,3333 OLNEY SANDY SPRING RD #101,,OLNEY,20832,09/01/2023,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,CHIPOTLE MEXICAN GRILL OF COLORADO LLC,Restaurant,Food,39.1533,-77.0661,"(39.1533, -77.0661)"
CHIPOTLE MEXICAN GRILL #0447,12060 CHERRY HILL RD.,,SILVER SPRING,20904,08/31/2023,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,CHIPOTLE MEXICAN GRILL OF COLORADO LLC,Restaurant,Food,39.0555,-76.9549,"(39.0555, -76.9549)"
CHIPOTLE MEXICAN GRILL #0411,"907 ELLSWORTH DR.,",,SILVER SPRING,20910,09/05/2023,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,CHIPOTLE MEXICAN GRILL,Restaurant,Food,38.9965,-77.026,"(38.9965, -77.026)"
CHIPOTLE MEXICAN GRILL #1334,19881 CENTURY BLVD,,GERMANTOWN,20874,09/21/2023,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Complaint Invest w/Comprehensive,"CHIPOTLE MEXICAN GRILL OF COLORADO, LLC.",Restaurant,Food,39.1826,-77.2639,"(39.1826, -77.2639)"
CHIPOTLE MEXICAN GRILL #2668,10161 NEW HAMPSHIRE AVE,,SILVER SPRING,20903,09/11/2023,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,"CHIPOTLE MEXICAN GRILL OF COLORADO, LLC",Restaurant,Food,39.0219,-76.9765,"(39.0219, -76.9765)"
CHIPOTLE MEXICAN GRILL #2781,20940-A NORTH FREDERICK AVE,,GERMANTOWN,20876,09/29/2023,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,CHIPOTLE MEXICAN GRILL OF COLORADO LLC,Restaurant,Food,39.2034,-77.2484,"(39.2034, -77.2484)"
CHIPOTLE MEXICAN GRILL #0461,96 MAIN ST.,,GAITHERSBURG,20878,10/05/2023,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,CHIPOTLE MEXICAN GRILL OF COLORADO LLC,Restaurant,Food,39.1246,-77.237,"(39.1246, -77.237)"
CHIPOTLE MEXICAN GRILL #1822,9815 MAIN STREET,STE 104,DAMASCUS,20872,10/10/2023,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,CHIPOTLE MEXICAN GRILL OF COLORADO LLC,Restaurant,Food,39.2888,-77.2025,"(39.2888, -77.2025)"
CHIPOTLE MEXICAN GRILL #0683,13501 CONNECTICUT AVE.,,SILVER SPRING,20906,10/09/2023,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Complaint Invest w/Comprehensive,CHIPOTLE MEXICAN GRILL OF COLORADO LLC,Restaurant,Food,39.0767,-77.08,"(39.0767, -77.08)"
CHIPOTLE MEXICAN GRILL #2245,11802 ROCKVILLE PIKE,Unit #F,ROCKVILLE,20852,11/20/2023,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,CHIPOTLE MEXICAN GRILL OF COLORADO LLC,Restaurant,Food,39.0498,-77.1153,"(39.0498, -77.1153)"
CHIPOTLE MEXICAN GRILL #0293,14925 SHADY GROVE RD.,,ROCKVILLE,20850,11/27/2023,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,CHIPOTLE MEXICAN GRILL OF COLORADO LLC,,Food,39.0964,-77.1924,"(39.0964, -77.1924)"
CHIPOTLE MEXICAN GRILL #1225,10400 OLD GEORGETOWN RD,,BETHESDA,20817,12/04/2023,Critical Violations Corrected,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,"CHIPOTLE MEXICAN GRILL OF COLORADO, LLC.",Restaurant,Food,39.0263,-77.1276,"(39.0263, -77.1276)"
CHIPOTLE MEXICAN GRILL #0683,13501 CONNECTICUT AVE.,,SILVER SPRING,20906,05/02/2023,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring w/Complaint Investigation,CHIPOTLE MEXICAN GRILL OF COLORADO LLC,Restaurant,Food,39.0767,-77.08,"(39.0767, -77.08)"
CHIPOTLE MEXICAN GRILL #2781,20940-A NORTH FREDERICK AVE,,GERMANTOWN,20876,09/01/2022,Critical Violations Corrected,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,CHIPOTLE MEXICAN GRILL OF COLORADO LLC,Restaurant,Food,39.2034,-77.2484,"(39.2034, -77.2484)"
CHIPOTLE MEXICAN GRILL #2781,20940-A NORTH FREDERICK AVE,,GERMANTOWN,20876,02/04/2022,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,CHIPOTLE MEXICAN GRILL OF COLORADO LLC,Restaurant,Food,39.2034,-77.2484,"(39.2034, -77.2484)"
