904616,MISC. AMERICAN CORDIALS & LIQUEURS,Travis Hasse Apple Pie,305,Mhw Ltd,750,12,1,,40,2009-02-11 00:00:00,,,$9.77,14.66,117.22
904617,MISC. IMPORTED CORDIALS & LIQUEURS,D'aristi Xtabentun,391,Anchor Distilling (preiss Imports),750,12,1,,60,2009-04-24 00:00:00,,,$14.12,21.18,169.40
904618,PEACH BRANDIES,Hiram Walker Peach Brandy,370,Pernod Ricard Usa/austin Nichols,1000,12,1,,60,2009-12-16 00:00:00,,89540500867,$6.50,9.74,77.94
904619,SCOTCH WHISKIES,Oak Cross Whisky,305,Mhw Ltd,750,6,1,,86,2009-12-24 00:00:00,,,$25.33,38.00,152.00
904620,FLAVORED VODKA,Uv Red(cherry) Vodka,380,Phillips Beverage Company,200,24,1,,60,2009-11-05 00:00:00,,10087100000000,$1.97,2.96,47.30
904621,STRAIGHT BOURBON WHISKIES,Heaven Hill Old Style White Label,259,Heaven Hill Distilleries Inc.,750,12,1,,80,2009-12-04 00:00:00,,,$6.37,9.55,76.40
904622,MISC. AMERICAN CORDIALS & LIQUEURS,Hyde Herbal Liqueur,194,Fire Tail Brands Llc,750,12,1,,80,2010-02-05 00:00:00,,904622,$5.06,7.59,60.70
904623,MISCELLANEOUS BRANDIES,Dupont Calvados Fine Reserve,403,Robert Kacher Selections,750,12,1,,80,2009-12-24 00:00:00,,,$23.61,35.42,283.33
904624,IMPORTED VODKA,Sobieski Cytron Vodka,267,Imperial Brands Inc.,750,12,1,,80,2009-12-29 00:00:00,,10089000000000,$5.69,8.54,68.32
904625,FLAVORED RUM,Captain Morgan Parrot Bay Strawberry,260,Diageo Americas,750,12,1,,42,2010-01-12 00:00:00,,82000756835,$7.49,11.24,89.84
904626,SINGLE MALT SCOTCH,Arran 10yr,10,A Hardy / U.s.a. Ltd.,750,6,1,,92,2009-10-01 00:00:00,,,$25.83,38.75,155.00
904627,FLAVORED RUM,Malibu Tropical Banana,370,Pernod Ricard Usa/austin Nichols,1000,12,1,,42,2009-06-10 00:00:00,89540493367,,$9.16,13.74,109.95
904628,SCOTCH WHISKIES,Ballantines Finest,370,Pernod Ricard Usa/austin Nichols,1750,6,1,,80,2010-01-12 00:00:00,,,$21.93,32.90,131.59
904629,DISTILLED SPIRITS SPECIALTY,Catdaddy Carolina Moonshine,384,Piedmont Distillers,750,6,1,,80,2010-01-20 00:00:00,,10851800000000,$12.08,18.13,72.50
904630,STRAIGHT BOURBON WHISKIES,Early Times Mint Julep,85,Brown-forman Corporation,1000,12,1,,60,2010-01-25 00:00:00,81128010904,904630,$7.94,11.91,95.25
904631,IMPORTED DRY GINS,Tanqueray Gin Mini,260,Diageo Americas,502,12,1,,94,2010-01-12 00:00:00,,88076175099,$14.54,21.81,174.51
904632,MISC. AMERICAN CORDIALS & LIQUEURS,Hiram Walker Creme De Strawberry,370,Pernod Ricard Usa/austin Nichols,1000,12,1,,30,2010-01-26 00:00:00,,,$4.50,6.75,53.94
904633,FLAVORED VODKA,Seagram's Wild Grape Vodka,255,Wilson Daniels Ltd.,200,24,1,,70,2009-02-24 00:00:00,720816000000,20720800000000,$1.01,1.52,24.21
904634,AMERICAN COCKTAILS,Seagram's Ruby Red Grapfruit Gin & Juice,370,Pernod Ricard Usa/austin Nichols,375,12,1,,35,2009-10-07 00:00:00,,,$2.40,3.60,28.83
904635,IMPORTED VODKA,Grey Goose La Poire Vodka(pear),35,Bacardi U.s.a. Inc.,750,6,1,,80,2009-05-15 00:00:00,,20080500000000,$18.49,27.74,110.94
904636,DISTILLED SPIRITS SPECIALTY,Virginia Moonshine,68,Belmont Farms Of Va. Inc,750,12,1,,100,2010-01-26 00:00:00,,,$11.84,17.76,142.06
904637,IMPORTED VODKA,Sobieski Cytron Vodka,267,Imperial Brands Inc.,1000,12,1,,70,2009-12-30 00:00:00,89016009146,904637,$7.05,10.58,84.60
904638,MISC. AMERICAN CORDIALS & LIQUEURS,Dekuyper Lemon Drop,65,Jim Beam Brands,750,12,1,,40,2010-01-27 00:00:00,,10080700000000,$6.30,9.45,75.60
904639,IMPORTED GRAPE BRANDIES,Tosolini Cividina Grappa,338,Niche Import Co.,1000,6,1,,80,2010-02-01 00:00:00,,,$16.83,25.25,101.00
904640,MISC. AMERICAN CORDIALS & LIQUEURS,Dekuyper Alabama Slammer,65,Jim Beam Brands,750,12,1,,40,2010-01-27 00:00:00,,,$6.30,9.45,75.60
